uID,variable,factor,.id,source,haus1.1,haus1.1t_1,haus2.1,haus2.1t_1,Source.Global,Source.Primary,Source.Secondary,Country,Location,Language,Weird,Execution,SubjectPool,Setting,Tablet,Pencil,StudyOrderN,IDiffOrderN,study.order,analysis.type,subset,case.include
2695,No,GreaterGood,ML2_Slate1_IndiaEng_execution_legal_MTurk_r.csv,mturk_india,,,2,92.479,mturk_india,mturk_india,mturk_india,India,MTurk India Workers,English,0,legal,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Graham|Bauer|Critcher|Anderson|Alter|Rottenstrich|VanLange|Ross.Slate1|Inbar|Huang|Miyamoto|Kay,ID: Mood|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
2750,Yes,GreaterGood,ML2_Slate1_IndiaEng_execution_legal_MTurk_r.csv,mturk_india,,,1,59.537,mturk_india,mturk_india,mturk_india,India,MTurk India Workers,English,0,legal,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Kay|Ross.Slate1|VanLange|Inbar|Alter|Rottenstrich|Critcher|Bauer|Anderson|Huang|Miyamoto|Graham,ID: Global self-esteem SISE|ID: Mood|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five,1,Order,all,TRUE
2806,No,GreaterGood,ML2_Slate1_Inlab_execution_illegal_DEPLOY__UK_r.csv,winchester,,,2,61.511,winchester,winchester,winchester,UK,"University of Winchester, Winchester, Hampshire, England",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|VanLange|Kay|Miyamoto|Rottenstrich|Graham|Huang|Alter|Critcher|Anderson|Bauer|Inbar,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,1,Order,all,TRUE
2813,No,GreaterGood,ML2_Slate1_Inlab_execution_illegal_DEPLOY__UK_r.csv,winchester,,,2,25.378,winchester,winchester,winchester,UK,"University of Winchester, Winchester, Hampshire, England",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Miyamoto|VanLange|Alter|Ross.Slate1|Anderson|Inbar|Huang|Rottenstrich|Bauer|Kay|Graham|Critcher,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection,1,Order,all,TRUE
2843,No,GreaterGood,ML2_Slate1_Inlab_execution_illegal_DEPLOY__UK_r.csv,winchester,,,2,47.443,winchester,winchester,winchester,UK,"University of Winchester, Winchester, Hampshire, England",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Graham|Anderson|Bauer|Alter|Miyamoto|Critcher|Kay|Rottenstrich|Ross.Slate1|Huang|VanLange|Inbar,ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Global self-esteem SISE,1,Order,all,TRUE
2911,No,GreaterGood,ML2_Slate1_Inlab_execution_illegal_DEPLOY__UK_r.csv,winchester,,,2,39.238,winchester,winchester,winchester,UK,"University of Winchester, Winchester, Hampshire, England",English,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Bauer|Critcher|Miyamoto|Ross.Slate1|Inbar|VanLange|Anderson|Alter|Graham|Rottenstrich|Huang|Kay,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five,1,Order,all,TRUE
2942,Yes,GreaterGood,ML2_Slate1_Japanese_Inlab_r.csv,doshisha,,,1,30.62,doshisha,doshisha,doshisha,Japan,"Doshisha University, Kyoto, Japan",Japanese,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Bauer|Kay|Ross.Slate1|Critcher|Huang|VanLange|Alter|Anderson|Graham|Rottenstrich|Miyamoto|Inbar,ID: Mood|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,1,Order,all,TRUE
2943,No,GreaterGood,ML2_Slate1_Japanese_Inlab_r.csv,doshisha,,,2,16.931,doshisha,doshisha,doshisha,Japan,"Doshisha University, Kyoto, Japan",Japanese,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Graham|Inbar|Rottenstrich|Ross.Slate1|VanLange|Kay|Bauer|Anderson|Miyamoto|Alter|Huang|Critcher,ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing|ID: Mood,1,Order,all,TRUE
2946,No,GreaterGood,ML2_Slate1_Japanese_Inlab_r.csv,doshisha,,,2,44.538,doshisha,doshisha,doshisha,Japan,"Doshisha University, Kyoto, Japan",Japanese,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Miyamoto|Bauer|Graham|Critcher|Anderson|VanLange|Inbar|Ross.Slate1|Alter|Kay|Rottenstrich|Huang,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood,1,Order,all,TRUE
2951,No,GreaterGood,ML2_Slate1_Japanese_Inlab_r.csv,doshisha,,,2,38.234,doshisha,doshisha,doshisha,Japan,"Doshisha University, Kyoto, Japan",Japanese,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Miyamoto|Alter|Kay|Bauer|Rottenstrich|Huang|Critcher|Graham|Inbar|VanLange|Anderson,ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Global self-esteem SISE,1,Order,all,TRUE
2966,Yes,GreaterGood,ML2_Slate1_Japanese_Inlab_r.csv,doshisha,,,1,48.899,doshisha,doshisha,doshisha,Japan,"Doshisha University, Kyoto, Japan",Japanese,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Rottenstrich|Ross.Slate1|Critcher|VanLange|Graham|Bauer|Alter|Huang|Kay|Anderson|Miyamoto|Inbar,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Subjective wellbeing,1,Order,all,TRUE
2974,No,GreaterGood,ML2_Slate1_Japanese_Inlab_r.csv,doshisha,,,2,34.434,doshisha,doshisha,doshisha,Japan,"Doshisha University, Kyoto, Japan",Japanese,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Huang|Rottenstrich|Anderson|VanLange|Alter|Ross.Slate1|Bauer|Kay|Critcher|Miyamoto|Graham|Inbar,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: Global self-esteem SISE,1,Order,all,TRUE
2995,No,GreaterGood,ML2_Slate1_Japanese_Inlab_r.csv,doshisha,,,2,45.781,doshisha,doshisha,doshisha,Japan,"Doshisha University, Kyoto, Japan",Japanese,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Miyamoto|Anderson|VanLange|Critcher|Alter|Graham|Bauer|Rottenstrich|Inbar|Huang|Kay|Ross.Slate1,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Global self-esteem SISE,1,Order,all,TRUE
3002,No,GreaterGood,ML2_Slate1_Japanese_Inlab_r.csv,doshisha,,,2,44.631,doshisha,doshisha,doshisha,Japan,"Doshisha University, Kyoto, Japan",Japanese,0,legal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Huang|Bauer|Rottenstrich|VanLange|Alter|Critcher|Miyamoto|Anderson|Inbar|Graham|Kay|Ross.Slate1,ID: Cognitive reflection|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
3052,No,GreaterGood,ML2_Slate1_New_ZealandEng_online_execution_illegal_DEPLOY__vuw_r.csv,vuw,,,2,70.586,vuw,vuw,vuw,New Zealand,"Victoria University of Wellington, New Zealand",English,1,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Huang|Rottenstrich|Bauer|Anderson|Kay|Graham|Inbar|VanLange|Alter|Miyamoto|Critcher|Ross.Slate1,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: Cognitive reflection,1,Order,all,TRUE
3066,Yes,GreaterGood,ML2_Slate1_New_ZealandEng_online_execution_illegal_DEPLOY__vuw_r.csv,vuw,,,1,9.383,vuw,vuw,vuw,New Zealand,"Victoria University of Wellington, New Zealand",English,1,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Bauer|Kay|Graham|Huang|Miyamoto|VanLange|Inbar|Alter|Rottenstrich|Ross.Slate1|Anderson|Critcher,ID: Subjective wellbeing|ID: Mood|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE,1,Order,all,TRUE
3093,No,GreaterGood,ML2_Slate1_New_ZealandEng_online_execution_illegal_DEPLOY__vuw_r.csv,vuw,,,2,47.405,vuw,vuw,vuw,New Zealand,"Victoria University of Wellington, New Zealand",English,1,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Kay|Inbar|Critcher|Rottenstrich|Graham|Anderson|Huang|Alter|Miyamoto|Bauer|VanLange|Ross.Slate1,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection,1,Order,all,TRUE
3203,No,GreaterGood,ML2_Slate1_Polish_execution_illegal__Wroclaw_r.csv,wroclaw,,,2,53.591,wroclaw,wroclaw,wroclaw,Poland,"University of Social Sciences and Humanities, Wroclaw, Poland",Polish,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Huang|Ross.Slate1|VanLange|Anderson|Inbar|Alter|Rottenstrich|Bauer|Critcher|Kay|Graham|Miyamoto,ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection,1,Order,all,TRUE
3205,No,GreaterGood,ML2_Slate1_Polish_execution_illegal__Wroclaw_r.csv,wroclaw,,,2,41.845,wroclaw,wroclaw,wroclaw,Poland,"University of Social Sciences and Humanities, Wroclaw, Poland",Polish,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Graham|Bauer|Miyamoto|VanLange|Huang|Critcher|Alter|Anderson|Inbar|Ross.Slate1|Kay|Rottenstrich,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection,1,Order,all,TRUE
3223,No,GreaterGood,ML2_Slate1_Polish_execution_illegal__Wroclaw_r.csv,wroclaw,,,2,47.334,wroclaw,wroclaw,wroclaw,Poland,"University of Social Sciences and Humanities, Wroclaw, Poland",Polish,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Miyamoto|VanLange|Anderson|Critcher|Inbar|Kay|Graham|Huang|Alter|Rottenstrich|Ross.Slate1|Bauer,ID: Mood|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five,1,Order,all,TRUE
3355,No,GreaterGood,ML2_Slate1_Polish_Inlab_execution_illegal_r.csv,badaniaon,,,2,45.943,badaniaon,badaniaon,badaniaon,Poland,badania.net,Polish,1,,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|VanLange|Critcher|Ross.Slate1|Rottenstrich|Inbar|Alter|Huang|Miyamoto|Kay|Anderson|Bauer|Graham,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Mood,1,Order,all,TRUE
3366,No,GreaterGood,ML2_Slate1_Polish_Inlab_execution_illegal_r.csv,badaniaon,,,2,39.694,badaniaon,badaniaon,badaniaon,Poland,badania.net,Polish,1,,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Bauer|Inbar|Alter|Rottenstrich|Graham|Anderson|Critcher|Miyamoto|Ross.Slate1|Huang|Kay|VanLange,ID: Mood|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Cognitive reflection,1,Order,all,TRUE
3376,No,GreaterGood,ML2_Slate1_Portugal__Portuguese_execution_illegal_r.csv,uniporto,,,2,23.182,uniporto,uniporto,uniporto,Portugal,"Universidade do Porto, Portugal",Portuguese,1,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Rottenstrich|Kay|Graham|Anderson|Alter|Huang|Miyamoto|Inbar|Bauer|Critcher|VanLange,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Mood,1,Order,all,TRUE
3388,No,GreaterGood,ML2_Slate1_Portugal__Portuguese_execution_illegal_r.csv,uniporto,,,2,63.341,uniporto,uniporto,uniporto,Portugal,"Universidade do Porto, Portugal",Portuguese,1,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Miyamoto|Graham|VanLange|Inbar|Critcher|Alter|Rottenstrich|Kay|Anderson|Huang|Bauer,ID: Subjective wellbeing|ID: Mood|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Global self-esteem SISE|ID: Cognitive reflection|ID: TIPI for Big-Five,1,Order,all,TRUE
3394,No,GreaterGood,ML2_Slate1_Portugal__Portuguese_execution_illegal_r.csv,uniporto,,,2,90.624,uniporto,uniporto,uniporto,Portugal,"Universidade do Porto, Portugal",Portuguese,1,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Critcher|Bauer|Inbar|VanLange|Graham|Alter|Huang|Kay|Anderson|Rottenstrich|Ross.Slate1|Miyamoto,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Mood|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
3409,No,GreaterGood,ML2_Slate1_Serbian_inlab_r.csv,unibelgrade,,,2,39.04,unibelgrade,unibelgrade,unibelgrade,Serbia,"University of Belgrade, Belgrade, Serbia",Serbian,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Alter|Huang|Rottenstrich|Anderson|Critcher|Graham|VanLange|Inbar|Kay|Bauer|Miyamoto|Ross.Slate1,ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Mood|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
3468,No,GreaterGood,ML2_Slate1_Serbian_inlab_r.csv,unibelgrade,,,2,44.496,unibelgrade,unibelgrade,unibelgrade,Serbia,"University of Belgrade, Belgrade, Serbia",Serbian,0,,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Ross.Slate1|Graham|Miyamoto|Anderson|Critcher|Kay|Bauer|Alter|VanLange|Huang|Rottenstrich|Inbar,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Mood|ID: TIPI for Big-Five|ID: Global self-esteem SISE,1,Order,all,TRUE
3516,No,GreaterGood,ML2_Slate1_South_Africa_Inlab_execution_illegal_DEPLOY_r.csv,johannesburg,,,2,29.69,johannesburg,johannesburg,johannesburg,South Africa,"University of Johannesburg, Johanneburg, South Africa",English,0,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Rottenstrich|Huang|Ross.Slate1|Anderson|Graham|VanLange|Alter|Bauer|Kay|Critcher|Inbar|Miyamoto,ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing|ID: Mood,1,Order,all,TRUE
3529,No,GreaterGood,ML2_Slate1_South_Africa_Inlab_execution_illegal_DEPLOY_r.csv,johannesburg,,,2,54.268,johannesburg,johannesburg,johannesburg,South Africa,"University of Johannesburg, Johanneburg, South Africa",English,0,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Anderson|VanLange|Miyamoto|Ross.Slate1|Graham|Rottenstrich|Inbar|Bauer|Critcher|Kay|Huang|Alter,ID: Mood|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five,1,Order,all,TRUE
3554,No,GreaterGood,ML2_Slate1_South_Africa_Inlab_execution_illegal_DEPLOY_r.csv,johannesburgother,,,2,116.842,johannesburgother,johannesburgother,johannesburgother,South Africa,"University of Johannesburg, Johanneburg, South Africa",English,0,illegal,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Critcher|Anderson|Bauer|Kay|Huang|Rottenstrich|Ross.Slate1|Graham|Miyamoto|VanLange|Alter|Inbar,ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Subjective wellbeing,1,Order,all,TRUE
3561,No,GreaterGood,ML2_Slate1_South_Africa_Inlab_execution_illegal_DEPLOY_r.csv,johannesburg,,,2,35.368,johannesburg,johannesburg,johannesburg,South Africa,"University of Johannesburg, Johanneburg, South Africa",English,0,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|VanLange|Graham|Miyamoto|Alter|Huang|Rottenstrich|Ross.Slate1|Bauer|Inbar|Critcher|Kay|Anderson,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Global self-esteem SISE|ID: TIPI for Big-Five|ID: Mood|ID: Subjective wellbeing,1,Order,all,TRUE
3579,No,GreaterGood,ML2_Slate1_South_Africa_Inlab_execution_illegal_DEPLOY_r.csv,johannesburg,,,2,47.89,johannesburg,johannesburg,johannesburg,South Africa,"University of Johannesburg, Johanneburg, South Africa",English,0,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Miyamoto|Graham|Kay|Bauer|Inbar|Critcher|Alter|Rottenstrich|Huang|Ross.Slate1|VanLange|Anderson,ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood,1,Order,all,TRUE
3649,No,GreaterGood,ML2_Slate1_Spanish_execution_illegal__Chile_r.csv,santiagoon,,,2,50.226,santiagoon,santiagoon,santiagoon,Chile,"Santiago, Chile",Spanish,1,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Rottenstrich|Ross.Slate1|Inbar|Critcher|Graham|Miyamoto|Bauer|Kay|Anderson|Alter|Huang|VanLange,ID: Cognitive reflection|ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Mood,1,Order,all,TRUE
3688,No,GreaterGood,ML2_Slate1_Spanish_execution_illegal__Chile_r.csv,udd,,,2,34.921,udd,udd,udd,Chile,"Concepción, Chile",Spanish,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Alter|Graham|Rottenstrich|Bauer|Anderson|VanLange|Miyamoto|Huang|Kay|Inbar|Critcher|Ross.Slate1,ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection,1,Order,all,TRUE
3705,No,GreaterGood,ML2_Slate1_Spanish_execution_illegal__Chile_r.csv,udd,,,2,94,udd,udd,udd,Chile,"Concepción, Chile",Spanish,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Kay|VanLange|Inbar|Alter|Huang|Bauer|Critcher|Ross.Slate1|Miyamoto|Anderson|Graham|Rottenstrich,ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five,1,Order,all,TRUE
3722,Yes,GreaterGood,ML2_Slate1_Spanish_execution_illegal__Chile_r.csv,udd,,,1,92.32,udd,udd,udd,Chile,"Concepción, Chile",Spanish,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Bauer|Critcher|Kay|Huang|Inbar|Anderson|Ross.Slate1|Alter|VanLange|Graham|Miyamoto|Rottenstrich,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Global self-esteem SISE|ID: Mood|ID: Subjective wellbeing|ID: Cognitive reflection|ID: TIPI for Big-Five,1,Order,all,TRUE
3723,No,GreaterGood,ML2_Slate1_Spanish_execution_illegal__Chile_r.csv,udd,,,2,52.981,udd,udd,udd,Chile,"Concepción, Chile",Spanish,1,illegal,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Rottenstrich|Miyamoto|VanLange|Huang|Critcher|Bauer|Inbar|Kay|Ross.Slate1|Anderson|Graham|Alter,ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.),1,Order,all,TRUE
3730,Yes,GreaterGood,ML2_Slate1_Spanish_execution_illegal__Chile_r.csv,santiagoon,,,1,78.559,santiagoon,santiagoon,santiagoon,Chile,"Santiago, Chile",Spanish,1,illegal,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|VanLange|Anderson|Miyamoto|Alter|Kay|Critcher|Graham|Bauer|Huang|Inbar|Rottenstrich|Ross.Slate1,ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Mood|ID: Cognitive reflection|ID: Subjective wellbeing,1,Order,all,TRUE
3760,No,GreaterGood,ML2_Slate1_Spanish_execution_illegal__Costa_Rica_r.csv,ucron,,,2,164.14,ucron,ucron,ucron,Costa Rica,"Universidad de Costa Rica, Costa Rica",Spanish,0,illegal,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Rottenstrich|Graham|Bauer|VanLange|Inbar|Alter|Ross.Slate1|Anderson|Miyamoto|Kay|Huang|Critcher,ID: TIPI for Big-Five|ID: Subjective wellbeing|ID: Mood|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Global self-esteem SISE,1,Order,all,TRUE
3778,No,GreaterGood,ML2_Slate1_Spanish_execution_illegal__Costa_Rica_r.csv,ucron,,,2,160.067,ucron,ucron,ucron,Costa Rica,"Universidad de Costa Rica, Costa Rica",Spanish,0,illegal,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Inbar|Rottenstrich|Miyamoto|Kay|VanLange|Graham|Huang|Anderson|Alter|Bauer|Ross.Slate1|Critcher,ID: Mood|ID: TIPI for Big-Five|ID: Cognitive reflection|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Global self-esteem SISE|ID: Subjective wellbeing,1,Order,all,TRUE
3850,No,GreaterGood,ML2_Slate1_Spanish_execution_illegal__Mexico_unam_r.csv,unam,,,2,66.107,unam,unam,unam,Mexico,National Autonomous University of Mexico in Mexico City,Spanish,0,illegal,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Miyamoto|Kay|VanLange|Inbar|Huang|Critcher|Ross.Slate1|Bauer|Rottenstrich|Alter|Anderson|Graham,ID: Global self-esteem SISE|ID: Subjective wellbeing|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: TIPI for Big-Five|ID: Mood|ID: Cognitive reflection,1,Order,all,TRUE
3876,Yes,GreaterGood,ML2_Slate1_Spanish_execution_illegal__Mexico_unam_r.csv,unam,,,1,55,unam,unam,unam,Mexico,National Autonomous University of Mexico in Mexico City,Spanish,0,illegal,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|VanLange|Huang|Critcher|Bauer|Miyamoto|Rottenstrich|Kay|Inbar|Alter|Anderson|Graham|Ross.Slate1,ID: Subjective wellbeing|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Mood|ID: TIPI for Big-Five,1,Order,all,TRUE
3879,No,GreaterGood,ML2_Slate1_Spanish_execution_illegal__Mexico_unam_r.csv,unam,,,2,56.584,unam,unam,unam,Mexico,National Autonomous University of Mexico in Mexico City,Spanish,0,illegal,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",Hauser|Graham|Critcher|Inbar|Rottenstrich|Bauer|Miyamoto|Alter|VanLange|Huang|Ross.Slate1|Kay|Anderson,ID: Subjective wellbeing|ID: TIPI for Big-Five|ID: Global self-esteem SISE|ID: Disgust scale (slate 1 only -- for Inbar et al.)|ID: Cognitive reflection|ID: Mood,1,Order,all,TRUE
